operation_id,start_unix_ns,end_unix_ns,latency_ms,node_count,is_global,success
op-300,1783280974577891800,1783280974611615400,33.7236,16,true,true
op-301,1783280974598327600,1783280974632042100,33.7145,16,true,true
op-302,1783280974618790100,1783280974653095100,34.3050,16,true,true
op-303,1783280974639041200,1783280974671752300,32.7111,16,true,true
op-304,1783280974659729000,1783280974693656600,33.9276,16,true,true
op-305,1783280974680289300,1783280974719276600,38.9873,16,true,true
op-306,1783280974700774400,1783280974731659700,30.8853,16,true,true
op-307,1783280974721314900,1783280974753996100,32.6812,16,true,true
op-308,1783280974741906200,1783280974776354600,34.4484,16,true,true
op-309,1783280974762030100,1783280974795266400,33.2363,16,true,true
op-310,1783280974782389600,1783280974816055400,33.6658,16,true,true
op-311,1783280974802793600,1783280974837826600,35.0330,16,true,true
op-312,1783280974823293000,1783280974854187400,30.8944,16,true,true
op-313,1783280974843845700,1783280974876116300,32.2706,16,true,true
op-314,1783280974864497100,1783280974900058400,35.5613,16,true,true
op-315,1783280974884718500,1783280974920025000,35.3065,16,true,true
op-316,1783280974905348300,1783280974938440200,33.0919,16,true,true
op-317,1783280974926005500,1783280974961381500,35.3760,16,true,true
op-318,1783280974946475100,1783280974980333200,33.8581,16,true,true
op-319,1783280974967445600,1783280975004183100,36.7375,16,true,true
op-320,1783280974987908700,1783280975022510300,34.6016,16,true,true
op-321,1783280975008218000,1783280975044141300,35.9233,16,true,true
op-322,1783280975028517100,1783280975063095900,34.5788,16,true,true
op-323,1783280975049184600,1783280975085751100,36.5665,16,true,true
op-324,1783280975069617900,1783280975102874500,33.2566,16,true,true
op-325,1783280975089780000,1783280975130887100,41.1071,16,true,true
op-326,1783280975110411200,1783280975145186100,34.7749,16,true,true
op-327,1783280975130887100,1783280975162564900,31.6778,16,true,true
op-328,1783280975151196100,1783280975182596100,31.4000,16,true,true
op-329,1783280975172138700,1783280975210906600,38.7679,16,true,true
op-330,1783280975192527400,1783280975223467100,30.9397,16,true,true
op-331,1783280975212908700,1783280975243109600,30.2009,16,true,true
op-332,1783280975233519100,1783280975267576100,34.0570,16,true,true
op-333,1783280975253803100,1783280975286585500,32.7824,16,true,true
op-334,1783280975274337900,1783280975305009100,30.6712,16,true,true
op-335,1783280975294844600,1783280975327959100,33.1145,16,true,true
op-336,1783280975315043600,1783280975349707300,34.6637,16,true,true
op-337,1783280975335475100,1783280975367962200,32.4871,16,true,true
op-338,1783280975355750600,1783280975388885800,33.1352,16,true,true
op-339,1783280975376100700,1783280975406678300,30.5776,16,true,true
op-340,1783280975396651000,1783280975431104100,34.4531,16,true,true
op-341,1783280975416899000,1783280975453179400,36.2804,16,true,true
op-342,1783280975437094100,1783280975478167800,41.0737,16,true,true
op-343,1783280975457588400,1783280975496832700,39.2443,16,true,true
op-344,1783280975478167800,1783280975514207300,36.0395,16,true,true
op-345,1783280975498341000,1783280975538659000,40.3180,16,true,true
op-346,1783280975518714200,1783280975554301600,35.5874,16,true,true
op-347,1783280975539370000,1783280975573874700,34.5047,16,true,true
op-348,1783280975559482500,1783280975594268700,34.7862,16,true,true
op-349,1783280975580012700,1783280975617418400,37.4057,16,true,true
op-350,1783280975600323000,1783280975638236900,37.9139,16,true,true
op-351,1783280975620965400,1783280975657717400,36.7520,16,true,true
op-352,1783280975641254500,1783280975676062000,34.8075,16,true,true
op-353,1783280975661778000,1783280975695811600,34.0336,16,true,true
op-354,1783280975681830800,1783280975716437100,34.6063,16,true,true
op-355,1783280975701919100,1783280975734861700,32.9426,16,true,true
op-356,1783280975722182300,1783280975754677400,32.4951,16,true,true
op-357,1783280975742630800,1783280975777005500,34.3747,16,true,true
op-358,1783280975763293000,1783280975798343300,35.0503,16,true,true
op-359,1783280975783846900,1783280975818395700,34.5488,16,true,true
op-360,1783280975804008400,1783280975838765300,34.7569,16,true,true
op-361,1783280975824560500,1783280975858878300,34.3178,16,true,true
op-362,1783280975844788200,1783280975878601000,33.8128,16,true,true
op-363,1783280975864909400,1783280975900034800,35.1254,16,true,true
op-364,1783280975885163600,1783280975927116400,41.9528,16,true,true
op-365,1783280975905334000,1783280975945093400,39.7594,16,true,true
op-366,1783280975925424200,1783280975960070000,34.6458,16,true,true
op-367,1783280975945597500,1783280975981226900,35.6294,16,true,true
op-368,1783280975966113000,1783280975997901300,31.7883,16,true,true
op-369,1783280975986758400,1783280976020512600,33.7542,16,true,true
op-370,1783280976006931800,1783280976042001600,35.0698,16,true,true
op-371,1783280976027190800,1783280976063902600,36.7118,16,true,true
op-372,1783280976047512700,1783280976084650500,37.1378,16,true,true
op-373,1783280976068058500,1783280976101976700,33.9182,16,true,true
op-374,1783280976088686700,1783280976127159400,38.4727,16,true,true
op-375,1783280976109017400,1783280976138404300,29.3869,16,true,true
op-376,1783280976129472400,1783280976162185900,32.7135,16,true,true
op-377,1783280976150567600,1783280976187849700,37.2821,16,true,true
op-378,1783280976171210300,1783280976207436500,36.2262,16,true,true
op-379,1783280976191631000,1783280976229631700,38.0007,16,true,true
op-380,1783280976211949300,1783280976246200700,34.2514,16,true,true
op-381,1783280976232637800,1783280976265723800,33.0860,16,true,true
op-382,1783280976253243000,1783280976285800300,32.5573,16,true,true
op-383,1783280976273760200,1783280976307961100,34.2009,16,true,true
op-384,1783280976293871000,1783280976326103900,32.2329,16,true,true
op-385,1783280976314510600,1783280976349032200,34.5216,16,true,true
op-386,1783280976334975600,1783280976375894700,40.9191,16,true,true
op-387,1783280976355565100,1783280976398913700,43.3486,16,true,true
op-388,1783280976375894700,1783280976411510700,35.6160,16,true,true
op-389,1783280976396057200,1783280976429313800,33.2566,16,true,true
op-390,1783280976416526100,1783280976454588900,38.0628,16,true,true
op-391,1783280976436840200,1783280976470425500,33.5853,16,true,true
op-392,1783280976457110900,1783280976491546000,34.4351,16,true,true
op-393,1783280976477442900,1783280976511436000,33.9931,16,true,true
op-394,1783280976497633400,1783280976533880300,36.2469,16,true,true
op-395,1783280976517991500,1783280976552883000,34.8915,16,true,true
op-396,1783280976538066300,1783280976574359900,36.2936,16,true,true
op-397,1783280976558925600,1783280976591277200,32.3516,16,true,true
op-398,1783280976579558500,1783280976609693600,30.1351,16,true,true
op-399,1783280976599834300,1783280976637719700,37.8854,16,true,true
op-400,1783280976620281500,1783280976656787300,36.5058,16,true,true
op-401,1783280976640885200,1783280976674202800,33.3176,16,true,true
op-402,1783280976661586200,1783280976701814800,40.2286,16,true,true
op-403,1783280976682216600,1783280976715906700,33.6901,16,true,true
op-404,1783280976702819700,1783280976734513400,31.6937,16,true,true
op-405,1783280976723593900,1783280976754920100,31.3262,16,true,true
op-406,1783280976744064000,1783280976774720500,30.6565,16,true,true
op-407,1783280976764438300,1783280976795896600,31.4583,16,true,true
op-408,1783280976784955600,1783280976816430500,31.4749,16,true,true
op-409,1783280976805294300,1783280976838470100,33.1758,16,true,true
op-410,1783280976825568600,1783280976860242700,34.6741,16,true,true
op-411,1783280976845992900,1783280976880730000,34.7371,16,true,true
op-412,1783280976866351200,1783280976900888300,34.5371,16,true,true
op-413,1783280976886798800,1783280976920578400,33.7796,16,true,true
op-414,1783280976907445200,1783280976940462100,33.0169,16,true,true
op-415,1783280976928105200,1783280976966037900,37.9327,16,true,true
op-416,1783280976948492000,1783280976979486500,30.9945,16,true,true
op-417,1783280976969337200,1783280977009954700,40.6175,16,true,true
op-418,1783280976989870500,1783280977036084500,46.2140,16,true,true
op-419,1783280977009954700,1783280977048970000,39.0153,16,true,true
op-420,1783280977030706500,1783280977067271900,36.5654,16,true,true
op-421,1783280977051030900,1783280977095525400,44.4945,16,true,true
op-422,1783280977071312300,1783280977109355000,38.0427,16,true,true
op-423,1783280977091781700,1783280977127373600,35.5919,16,true,true
op-424,1783280977111876700,1783280977152238600,40.3619,16,true,true
op-425,1783280977131937200,1783280977169912100,37.9749,16,true,true
op-426,1783280977152238600,1783280977188504300,36.2657,16,true,true
op-427,1783280977172422100,1783280977204058700,31.6366,16,true,true
op-428,1783280977192667700,1783280977225040000,32.3723,16,true,true
op-429,1783280977213408900,1783280977250338200,36.9293,16,true,true
op-430,1783280977233926600,1783280977266685400,32.7588,16,true,true
op-431,1783280977254348700,1783280977290354700,36.0060,16,true,true
op-432,1783280977274776000,1783280977305492800,30.7168,16,true,true
op-433,1783280977295283000,1783280977335755500,40.4725,16,true,true
op-434,1783280977315727600,1783280977345941600,30.2140,16,true,true
op-435,1783280977335755500,1783280977367539100,31.7836,16,true,true
op-436,1783280977355995400,1783280977389389700,33.3943,16,true,true
op-437,1783280977376582300,1783280977409118000,32.5357,16,true,true
op-438,1783280977397128000,1783280977432757100,35.6291,16,true,true
op-439,1783280977417164500,1783280977452423800,35.2593,16,true,true
op-440,1783280977437287200,1783280977472601900,35.3147,16,true,true
op-441,1783280977457467600,1783280977497022800,39.5552,16,true,true
op-442,1783280977477583000,1783280977511600400,34.0174,16,true,true
op-443,1783280977498028500,1783280977531071200,33.0427,16,true,true
op-444,1783280977518111900,1783280977551496400,33.3845,16,true,true
op-445,1783280977538699600,1783280977571456900,32.7573,16,true,true
